fik_C1,fik_C2,fik_C3,fik_C4,DisplayName
0.23085336111611673,0.20890755428642316,0.35435551545247757,0.20588356914498251,"Alfred H. Barr, Jr."
0.8018561247603059,0.06230613751310023,0.07366342883196901,0.06217430889462502,Paul Cézanne
0.8428484465533813,0.04923539423916173,0.058701764088387426,0.049214395119069644,Paul Gauguin
0.8405696854236289,0.049980316395877335,0.05951937352063279,0.04993062465986091,Vincent van Gogh
0.9628316689604726,0.01140167791403023,0.014357775712174486,0.0114088774133228,Georges-Pierre Seurat
0.6787051892844586,0.09490448791215372,0.13072730375249983,0.0956630190508879,Charles Burchfield
0.9177969450925837,0.024920520882983705,0.03229215389006595,0.024990380134366733,Charles Demuth
0.10707540867742601,0.23702158134503334,0.402729652165102,0.2531733578124385,Preston Dickinson
0.9737136704274559,0.007965529602253737,0.010341648320318857,0.007979151649971632,Lyonel Feininger
0.3331888837296205,0.1900049887760493,0.28144333694688334,0.1953627905474469,"George Overbury (""Pop"") Hart"
0.8227150985852018,0.05367555720762422,0.06952838396729126,0.054080960239882764,Edward Hopper
0.14155929142884574,0.23287633839937635,0.3802492205541048,0.2453151496176731,Bernard Karfiol
0.006128870001960262,0.14949233646661275,0.5570943779467179,0.28728441558470913,Rockwell Kent
0.2675644960290942,0.20504485867175312,0.3153390542831275,0.2120515910160252,Walt Kuhn
0.8227095840398349,0.05382571202197009,0.06943271241285527,0.054031991525339815,Yasuo Kuniyoshi
0.004037805468978398,0.17013379458342512,0.21686333972765448,0.6089650602199421,Ernest Lawson
0.9232559255508812,0.023414534945323952,0.02979595709111143,0.02353358241268328,John Marin
0.009865666925150146,0.17769473478375558,0.5403571266314123,0.27208247165968197,Kenneth Hayes Miller
0.7324872788310274,0.07970950136522077,0.107312208318911,0.08049101148484074,Georgia O'Keeffe
0.6793923169527442,0.09571769266118026,0.12805333402597716,0.09683665636009847,Jules Pascin
0.16173065234219194,0.22543790437758565,0.3756156294931355,0.23721581378708675,John Sloan
0.04701646045718445,0.23622682364213227,0.44848703740419366,0.26826967849648964,Eugene Speicher
0.19879710320993593,0.2211974257870006,0.3498624835924285,0.230142987410635,Maurice Sterne
0.7570766680356141,0.0729178269841279,0.09659248997957623,0.07341301500068159,Max Weber
0.9289389350765807,0.022031825390766997,0.027015426878211245,0.022013812654441054,Pierre Bonnard
0.6787792677319956,0.10187884567839069,0.11788899569385462,0.10145289089575905,Georges Braque
0.7452855757995897,0.08038159862211097,0.09422718977021922,0.08010563580808017,Marc Chagall
0.8171385501522117,0.05735563002100851,0.06833270835941582,0.057173111467364014,Giorgio de Chirico
0.9145072155848406,0.025877696487273977,0.033715306997710984,0.025899780930174417,Robert Delaunay
0.7628517513301967,0.07470616629090472,0.08788575244240647,0.07455632993649197,André Derain
8.121979289757085e-05,0.005141436696480306,0.0038825492380468586,0.9908947942725753,Maurice Dufrèsne
0.9312181486368091,0.020774925335298608,0.027166652530174577,0.020840273497717873,Raoul Dufy
0.003652319963876368,0.15314536334492804,0.28253440867247,0.5606679080187256,Jean Fautrier
0.00730365850596541,0.19888126877273862,0.4003537251940929,0.3934613475272032,Jean-Louis Forain
0.010786736493628234,0.21048664792436897,0.44692754358851666,0.33179907199348624,Othon Friesz
0.003420180940936556,0.15298719172896605,0.20828963087760513,0.6353029964524923,Marcel Gromaire
0.0016002264479148547,0.087106055603543,0.09217370230324759,0.8191200156452946,Moïse Kisling
0.09970038492067747,0.23394322159386802,0.4158081872517445,0.25054820623370994,Marie Laurencin
0.646724335823505,0.1123569044201304,0.12903597474938425,0.11188278500698033,Fernand Léger
0.007333257253316023,0.19200714353950252,0.4412793731317863,0.35938022607539527,Jean Lurçat
0.5482353377053104,0.14500471648441404,0.16227077331473758,0.14448917249553797,Henri Matisse
0.5759974156981251,0.1355494187461687,0.1535148687655928,0.13493829679011335,Joan Miró
0.4810688674571932,0.16763931692047246,0.18439762178785699,0.16689419383447743,Pablo Picasso
0.7732723914589654,0.07136248012770535,0.08411958527225277,0.07124554314107652,Georges Rouault
0.4212818820326439,0.16363654724174712,0.24861833119795565,0.16646323952765343,André Dunoyer de Segonzac
0.4929990782641663,0.1449676188670253,0.21531476261070798,0.1467185402581005,Chaim Soutine
0.004316593792905336,0.16926953625763758,0.313145824677694,0.5132680452717632,Léopold Survage
0.19413825263532836,0.21672235240127583,0.3652480278289257,0.22389136713447014,Maurice Utrillo
0.1276631553156199,0.2142715098372781,0.4335279296845276,0.2245374051625743,Maurice de Vlaminck
0.9862227983194148,0.004189696738571314,0.005390252309136414,0.004197252632877484,Édouard Vuillard
0.5892540673789537,0.1312944056345553,0.14862784242464022,0.13082368456185084,Paul Klee
0.36483628775361093,0.18006427994825813,0.2707481277330828,0.18435130456504817,Wilhelm Lehmbruck
0.8519391127632794,0.04425444250237721,0.05938986202272334,0.044416582711620044,Aristide Maillol
5.668732500381829e-05,0.0036211920415431375,0.002687077212600855,0.9936350434208522,"A. Everett Austin, Jr."
0.002051962042782307,0.10638966489504288,0.12599741690052574,0.7655609561616491,Awa Tsireh (Alfonso Roybal)
0.04329875189174319,0.2196478719574317,0.48661274715056557,0.2504406290002594,Peggy Bacon
0.04510116804003038,0.21993064394191902,0.48557522005891235,0.24939296795913815,Ahron Ben-Shmuel
0.00020700998239548316,0.012833697848815138,0.010194597838969355,0.97676469432982,Jane Berlandina
4.858050141875929e-05,0.0030952671460375966,0.002270710762964242,0.9945854415895794,Virginia Berresford
0.00011354136719238344,0.007152958526521126,0.005523676979877628,0.9872098231264089,Edward Biberman
