fik_C1,fik_C2,fik_C3,fik_C4,DisplayName,Year
3.6036801123758647e-07,0.9999989196582276,3.593879579764376e-07,3.6058580325033127e-07,"alfred h. barr, jr.",1929
0.005334457146615125,0.9840250729534323,0.005315031029314708,0.005325438870637726,paul cézanne,1929
0.014500945237510407,0.956629693131191,0.014478095756257801,0.01439126587504083,paul gauguin,1929
0.00511945215987245,0.9846896147555803,0.005068802129496867,0.005122130955050493,vincent van gogh,1929
0.01537699487568062,0.9536305936838977,0.015443355879259928,0.015549055561161826,georges-pierre seurat,1929
0.6279801773185063,0.0012964482863254971,0.12999358849886902,0.24072978589629918,charles burchfield,1929
0.7341796696027509,0.0007292257514828984,0.11086762852415379,0.15422347612161239,charles demuth,1929
0.22437188090655638,0.0019000619228716307,0.18250522603630212,0.5912228311342699,preston dickinson,1929
0.12483815494823876,0.002571686803257403,0.7374548919654877,0.13513526628301614,lyonel feininger,1929
0.035159864066106564,0.00042595474249000105,0.9227183775454025,0.04169580364600083,"george overbury (""pop"") hart",1929
0.618428672356185,0.0024039356360617283,0.15733481627892854,0.2218325757288246,edward hopper,1929
0.13813268411891327,0.001029718860685462,0.6447828718602143,0.216054725160187,bernard karfiol,1929
0.5577007250426456,0.0033102889391146044,0.13446826045947205,0.3045207255587678,rockwell kent,1929
0.925470269613843,0.00012133693372727327,0.013892971665884492,0.060515421786545114,walt kuhn,1929
0.3024474554719443,0.0007001170014912152,0.3075270036760191,0.38932542385054536,yasuo kuniyoshi,1929
0.863151353857467,0.00023989045639676303,0.029895681720152216,0.10671307396598417,ernest lawson,1929
0.12811541081532482,0.0012454236051990069,0.6865798915510158,0.1840592740284604,john marin,1929
0.149697164804313,0.00031315755682496775,0.03548451285579694,0.8145051647830651,kenneth hayes miller,1929
0.44672481749254045,0.003216642727633178,0.12163770334844597,0.42842083643138035,georgia o'keeffe,1929
0.18662642991544456,0.0007339213855886526,0.1766515095645759,0.6359881391343909,jules pascin,1929
0.042688518858833284,0.0001331207606299566,0.022688009573295656,0.9344903508072411,john sloan,1929
0.27000130884075596,0.0063002187789297955,0.2940990191230547,0.4295994532572595,eugene speicher,1929
0.3147378736844298,0.007934126734708346,0.29877060301131414,0.3785573965695476,maurice sterne,1929
0.34990370774415397,0.012953982775494595,0.30227674731081644,0.33486556216953506,max weber,1929
0.00918387235697601,0.9645441431099935,0.01589604360099621,0.010375940932034325,pierre bonnard,1930
0.07095801592523607,0.23996315368367874,0.6219862988850126,0.0670925315060726,georges braque,1930
0.07400647194354769,0.2455625111067455,0.6104253492254059,0.0700056677243009,marc chagall,1930
0.06790322524497348,0.23399152788360356,0.6339285024599172,0.06417674441150582,giorgio de chirico,1930
0.009183872356975193,0.9645441431099961,0.01589604360099529,0.01037594093203352,robert delaunay,1930
0.06771135039114849,0.23359783364205305,0.6346970836194582,0.06399373234734014,andré derain,1930
0.009183872356975197,0.9645441431099961,0.015896043600995297,0.010375940932033523,maurice dufrèsne,1930
0.06781196888631924,0.2337958827479969,0.6343024183750504,0.06408972999063349,raoul dufy,1930
0.06779078449431465,0.2337538707922154,0.6343858253823182,0.06406951933115178,jean fautrier,1930
0.06770886269097909,0.23359413578018753,0.6347056465634002,0.06399135496543307,jean-louis forain,1930
0.0091838723569752,0.9645441431099961,0.015896043600995304,0.010375940932033527,othon friesz,1930
0.06787281801666063,0.2339167241283075,0.6340626756411416,0.06414778221389021,marcel gromaire,1930
0.0091838723569752,0.9645441431099961,0.015896043600995304,0.010375940932033527,moïse kisling,1930
0.0678998982397821,0.2339705403950656,0.6339559435182673,0.06417361784688495,marie laurencin,1930
0.0678813030351453,0.2339335850264683,0.6340292346854166,0.06415587725296965,fernand léger,1930
0.067872813535886,0.2339167152247889,0.634062693300266,0.06414777793905908,jean lurçat,1930
0.06787280612736074,0.23391670050368749,0.6340627224979103,0.06414777087104143,henri matisse,1930
0.06787978856283128,0.23393057545814103,0.634035203592636,0.06415443238639167,joan miró,1930
0.06781861905013961,0.23380907968543227,0.6342762267901207,0.06409607447430735,pablo picasso,1930
0.06790868343961912,0.23398800110890708,0.6339213161385148,0.06418199931295904,georges rouault,1930
0.06789408023765506,0.23395897743747845,0.6339788750991577,0.06416806722570871,andré dunoyer de segonzac,1930
0.009183872356975197,0.9645441431099961,0.015896043600995297,0.010375940932033523,chaim soutine,1930
0.0091838723569752,0.9645441431099961,0.015896043600995304,0.010375940932033527,léopold survage,1930
0.06790776696947609,0.2339861795824894,0.6339249284885076,0.06418112495952688,maurice utrillo,1930
0.0091838723569752,0.9645441431099961,0.015896043600995304,0.010375940932033527,maurice de vlaminck,1930
0.009183872356975197,0.9645441431099961,0.015896043600995297,0.010375940932033523,édouard vuillard,1930
0.013101190168593077,0.029960448110014425,0.9448656516357566,0.012072710085635948,paul klee,1930
0.01310146247242508,0.029961088846375578,0.944864487739959,0.012072960941240322,wilhelm lehmbruck,1930
0.01310254292092112,0.029963451332508367,0.9448600472690528,0.012073958477517813,aristide maillol,1930
0.013103763572893539,0.029966285647869136,0.9448548673335672,0.012075083445670215,max weber,1930
0.9991151339859465,0.00034075710367328005,0.0002624011587536968,0.0002817077516265805,"a. everett austin, jr.",1930
0.9991151339859465,0.00034075710367328005,0.0002624011587536968,0.0002817077516265805,awa tsireh (alfonso roybal),1930
0.9991151339859465,0.00034075710367328016,0.0002624011587536969,0.0002817077516265806,peggy bacon,1930
0.9991151339859465,0.00034075710367328016,0.0002624011587536969,0.0002817077516265806,ahron ben-shmuel,1930
